method,dataset,sequence,vr,rmse_m,p_max,esr_camera,rr_camera,esr_measurement,rr_measurement,esr_gps,rr_gps
heuristic,euroc,V1_01_easy,0.0,0.16508308670313382,0.08459444491149118,6.673654786862334,66.63172606568833,6.673654786862334,66.63172606568833,,
heuristic,euroc,V1_02_medium,0.0,0.3378924282688559,0.08459444491149118,6.674698795180723,66.62650602409637,6.674698795180723,66.62650602409637,,
heuristic,euroc,V1_03_difficult,0.0,0.2956990492142444,0.08459444491149118,6.666666666666667,66.65078608861363,6.666666666666667,66.65078608861363,,
heuristic,euroc,V2_01_easy,0.0,0.1292949165878578,0.08459444491149118,6.672645739910314,66.63677130044843,6.672645739910314,66.63677130044843,,
heuristic,euroc,V2_02_medium,0.0,0.24857795976145425,0.08459444491149118,6.67246628969117,66.62315056570932,6.67246628969117,66.62315056570932,,
heuristic,euroc,V2_03_difficult,0.0,0.26034718674363844,0.08459444491149118,6.0865763008307825,62.80064136825227,6.0865763008307825,62.80064136825227,,
aoi_min,euroc,MH_01_easy,0.0,0.15990895818940223,0.08459444491149118,20.0,0.0,20.0,0.0,,
aoi_min,euroc,MH_02_easy,0.0,0.1682844576639132,0.08459444491149118,20.0,0.0,20.0,0.0,,
aoi_min,euroc,MH_03_medium,0.0,0.21124923985138483,0.08459444491149118,19.993964086313568,0.0,19.993964086313568,0.0,,
aoi_min,euroc,MH_04_medium,0.0,0.24102911513682712,0.08459444491149118,20.0,0.0,20.0,0.0,,
aoi_min,euroc,MH_05_difficult,0.0,0.21982235386774893,0.08459444491149118,19.99909995049728,0.0,19.99909995049728,0.0,,
aoi_min,euroc,V1_01_easy,0.0,0.10256910901793935,0.08459444491149118,20.0,0.0,20.0,0.0,,
aoi_min,euroc,V1_02_medium,0.0,0.2101264772595256,0.08459444491149118,20.0,0.0,20.0,0.0,,
aoi_min,euroc,V1_03_difficult,0.0,0.1936903001335322,0.08459444491149118,19.99047619047619,0.0,19.99047619047619,0.0,,
aoi_min,euroc,V2_01_easy,0.0,0.08146875250268432,0.08459444491149118,20.0,0.0,20.0,0.0,,
aoi_min,euroc,V2_02_medium,0.0,0.1604300060480319,0.08459444491149118,19.991300565463245,0.0,19.991300565463245,0.0,,
aoi_min,euroc,V2_03_difficult,0.0,0.17462153574574737,0.08459444491149118,16.362046348928725,0.0,16.362046348928725,0.0,,
